file,trick,source,source_url,page_url,license,author,width,height,duration,fps,title
videos/pull_up/commons_Get_Fit-_Proper_Pull-Up_Technique_Marine_Corps_Air_Station_I.mp4,pull_up,wikimedia_commons,https://upload.wikimedia.org/wikipedia/commons/5/5f/Get_Fit-_Proper_Pull-Up_Technique%2C_Marine_Corps_Air_Station%2C_Iwakuni%2C_Japan_2026_%28FIT%29_%281017403%29.webm?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"https://commons.wikimedia.org/wiki/File:Get_Fit-_Proper_Pull-Up_Technique,_Marine_Corps_Air_Station,_Iwakuni,_Japan_2026_(FIT)_(1017403).webm",Public domain,OptimusPrimeBot,1920,1080,60.0,29.97,"File:Get Fit- Proper Pull-Up Technique, Marine Corps Air Station, Iwakuni, Japan 2026 (FIT) (1017403).webm"
videos/pull_up/commons_Navy-seal-buds-training-pull-ups.mp4,pull_up,wikimedia_commons,https://upload.wikimedia.org/wikipedia/commons/f/fc/Navy-seal-buds-training-pull-ups.ogv?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://commons.wikimedia.org/wiki/File:Navy-seal-buds-training-pull-ups.ogv,Public domain,Slick-o-bot,720,480,96.9,29.97,File:Navy-seal-buds-training-pull-ups.ogv
videos/muscle_up/youtube_IvJtx3NaKew.mp4,muscle_up,youtube_cc,https://www.youtube.com/watch?v=IvJtx3NaKew,https://www.youtube.com/watch?v=IvJtx3NaKew,Creative Commons Attribution license (reuse allowed),My Outcast State,1280,720,106.0,25.0,Muscle-up Progression at Melbourne Calisthenics
videos/muscle_up/youtube_BHXSLUkIQkQ.mp4,muscle_up,youtube_cc,https://www.youtube.com/watch?v=BHXSLUkIQkQ,https://www.youtube.com/watch?v=BHXSLUkIQkQ,Creative Commons Attribution license (reuse allowed),My Outcast State,1280,720,11.7,25.0,Bar Swing and Muscle up at Melbourne Calisthenics
videos/dip/youtube_UQEVOSyEogE.mp4,dip,youtube_cc,https://www.youtube.com/watch?v=UQEVOSyEogE,https://www.youtube.com/watch?v=UQEVOSyEogE,Creative Commons Attribution license (reuse allowed),Italo Calisthenics ,1280,720,18.8,30.0,How to do parallel bar dips
videos/dip/youtube_Hrt3McyGjpQ.mp4,dip,youtube_cc,https://www.youtube.com/watch?v=Hrt3McyGjpQ,https://www.youtube.com/watch?v=Hrt3McyGjpQ,Creative Commons Attribution license (reuse allowed),BodY-ProoF Calisthenics (Martin Kocken),1280,720,47.8,30.0,Dips Regular - Beginner
videos/push_up/youtube_3nnzOvAAbP8.mp4,push_up,youtube_cc,https://www.youtube.com/watch?v=3nnzOvAAbP8,https://www.youtube.com/watch?v=3nnzOvAAbP8,Creative Commons Attribution license (reuse allowed),Barbell Logic,1280,720,35.1,23.98,Push Up Correct Form: Gym Shorts
videos/push_up/youtube_GmH2UfFBrN8.mp4,push_up,youtube_cc,https://www.youtube.com/watch?v=GmH2UfFBrN8,https://www.youtube.com/watch?v=GmH2UfFBrN8,Creative Commons Attribution license (reuse allowed),USNavySEALSWCC,720,480,110.2,29.97,Navy SEAL BUD/s Training | Push Ups
videos/push_up/youtube_l02EZAm-qn0.mp4,push_up,youtube_cc,https://www.youtube.com/watch?v=l02EZAm-qn0,https://www.youtube.com/watch?v=l02EZAm-qn0,Creative Commons Attribution license (reuse allowed),Colossus Fitness,1280,720,142.3,24.0,Diamond Pushups Explained (Most People Do These Wrong)
videos/push_up/youtube_zfEqoLnoTCc.mp4,push_up,youtube_cc,https://www.youtube.com/watch?v=zfEqoLnoTCc,https://www.youtube.com/watch?v=zfEqoLnoTCc,Creative Commons Attribution license (reuse allowed),Dan Phoenix,1280,720,208.1,12.5,Push Up Progression To A Full Push Up - Calisthenics Tutorial
videos/squat/youtube_CdjFLWq-yFk.mp4,squat,youtube_cc,https://www.youtube.com/watch?v=CdjFLWq-yFk,https://www.youtube.com/watch?v=CdjFLWq-yFk,Creative Commons Attribution license (reuse allowed),School of Calisthenics,1280,720,227.9,25.0,Challenge Tuesday #66 - Pistol Transitions | School of Calisthenics
